Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
root-set-rust-bloom,Root Set - Rust Bloom,"<div class=""product-description"">Fresh tone, same ease.<br>The Root Set brings a warmer energy to a familiar silhouette, pairing a sleeveless V-neck top with tailored straight trousers in a rust bloom hemp-cotton blend. Easy, breathable, and quietly structured.<br>The top is defined by vertical stitch lines that add form without weight. An asymmetric button detail at the neckline introduces character, while front and back slits allow movement, subtle but noticeable.<br>The trousers follow with balance. Straight, clean, and tailored, they ground the richness of the color with a more composed line.<br>A set made for warm days that still ask for intention.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: Hemp Cotton<br>Color: Azo free dyed Rust Bloom<br>Top Fit: Comfort, Length: 22""<br>Pant Fit: Tailored Straight, Length: 40"" across all sizes<br>Model Fit: Model is 5'6"" / wearing size S</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water<br>● Use a gentle detergent<br>● Machine wash on a mild cycle or hand wash<br>● Air dry preferred, or tumble dry on low heat<br>● Iron on low heat<br>● Avoid bleach and harsh chemicals<br>● Do not overwash: air between wears<br>● Spot clean for small stains instead of full washing<br><br>Note:<br>● Wash separately for the first few washes, as slight colour release may occur.<br>● Garments with hand embroidery are best cared for through dry cleaning.<br>● Subtle variations in colour and texture are natural. Each piece is unique.<br>Just a little care, and the fabric will take care of the rest.</div>",Soulmead,Uncategorized,Co-ord Set,"Co-ord Set, Rust Bloom",true,Size,XS,,,,,,,,WT09-WP03-A-RustBloom-XS,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03623.jpg?v=1775123093,1,,false,,,,kg,,,active
root-set-rust-bloom,,,,,,,,,S,,,,,,,,WT09-WP03-A-RustBloom-S,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03627.jpg?v=1775123106,2,,,,,,kg,,,
root-set-rust-bloom,,,,,,,,,M,,,,,,,,WT09-WP03-A-RustBloom-M,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03642.jpg?v=1775123111,3,,,,,,kg,,,
root-set-rust-bloom,,,,,,,,,L,,,,,,,,WT09-WP03-A-RustBloom-L,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03644.jpg?v=1775123116,4,,,,,,kg,,,
root-set-rust-bloom,,,,,,,,,XL,,,,,,,,WT09-WP03-A-RustBloom-XL,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,,,,,,,,kg,,,
root-set-soft-teal,Root Set - Soft Teal,"<div class=""product-description"">Fresh tone, same ease.<br>The Root Set brings a new energy to a familiar silhouette, pairing a sleeveless V-neck top with tailored straight trousers in a soft teal hemp-cotton. Easy, breathable, and structured.<br>The top is defined by vertical stitch lines that add form without weight. An asymmetric button detail at the neckline introduces character, while front and back slits allow movement, subtle but noticeable.<br>The trousers follow with balance. Straight, clean, and tailored, they ground the softness of the color with a more defined line.<br>A set made for warm days that still ask for thought.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: Hemp Cotton<br>Color: Azo free dyed Soft Teal<br>Top Fit: Comfort, Length: 22""<br>Pant Fit: Tailored Straight, Length: 40"" across all sizes<br>Model Fit: Model is 5'6"" / wearing size S</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water<br>● Use a gentle detergent<br>● Machine wash on a mild cycle or hand wash<br>● Air dry preferred, or tumble dry on low heat<br>● Iron on low heat<br>● Avoid bleach and harsh chemicals<br>● Do not overwash: air between wears<br>● Spot clean for small stains instead of full washing<br><br>Note:<br>● Wash separately for the first few washes, as slight colour release may occur.<br>● Garments with hand embroidery are best cared for through dry cleaning.<br>● Subtle variations in colour and texture are natural. Each piece is unique.<br>Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Co-ord Set,"Co-ord Set, Soft Teal",true,Size,XS,,,,,,,,WT09-WP03-A-SoftTeal-XS,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04398.jpg?v=1775121993,1,,false,,,,kg,,,active
root-set-soft-teal,,,,,,,,,S,,,,,,,,WT09-WP03-A-SoftTeal-S,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,,,,,,,,kg,,,
root-set-soft-teal,,,,,,,,,M,,,,,,,,WT09-WP03-A-SoftTeal-M,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,,,,,,,,kg,,,
root-set-soft-teal,,,,,,,,,L,,,,,,,,WT09-WP03-A-SoftTeal-L,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,,,,,,,,kg,,,
root-set-soft-teal,,,,,,,,,XL,,,,,,,,WT09-WP03-A-SoftTeal-XL,0.0,shopify,10,deny,manual,12890.00,,true,true,,,,,,,,,,,,,kg,,,
muse-set-indigo,Muse Set - Indigo,"<div class=""product-description"">Sleeveless, intentional, elegant.<br>The Muse Set pairs a structured vest top with wide-leg trousers in deep indigo Kala cotton, bringing together ease and detail.<br>The top features a soft lapel neckline and gently curved hem panels that shape the silhouette without adding stiffness. Hand embroidery runs along the front opening and panel edges, not as a pattern, but as a line of detail that highlights the construction itself. Subtle, deliberate, and easy to notice up close.<br>The trousers complete the set with balance. Wide-legged and fluid, they move with ease while holding a clean, polished line.<br>The kind of outfit that needs no accessories. The kind that becomes one.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: Kala Cotton <br>Color: Yarn dyed Indigo<br>Top Fit: Comfort, Length: 21""<br>Pant Fit: Wide Leg, Length: 42"" across all sizes<br>Model Fit: Model is 5'7""/ wearing size S</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water only<br>● Use a mild detergent<br>● Wash separately, especially during initial washes<br>● Air dry in shade; avoid direct sunlight<br>● Do not wring or scrub harshly<br>● Iron on low heat, inside out<br>● Avoid bleach and harsh chemicals<br>● Do not overwash: allow the fabric to breathe between wears<br>● Spot clean gently when needed<br><br>Note :<br>● Wash separately for the first few washes, as slight colour release may occur.<br>● Garments with hand embroidery are best cared for through dry cleaning.<br>● Subtle variations in colour and texture are natural. Each piece is unique.<br>Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Co-ord Set,"Co-ord Set, Indigo",true,Size,XS,,,,,,,,WT08- WP04-Indigo-XS,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03337.jpg?v=1775123070,1,,false,,,,kg,,,active
muse-set-indigo,,,,,,,,,S,,,,,,,,WT08- WP04-Indigo-S,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03345.jpg?v=1775123076,2,,,,,,kg,,,
muse-set-indigo,,,,,,,,,M,,,,,,,,WT08- WP04-Indigo-M,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03349.jpg?v=1775123082,3,,,,,,kg,,,
muse-set-indigo,,,,,,,,,L,,,,,,,,WT08- WP04-Indigo-L,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03365.jpg?v=1775123088,4,,,,,,kg,,,
muse-set-indigo,,,,,,,,,XL,,,,,,,,WT08- WP04-Indigo-XL,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,,,,,,,,kg,,,
poise-set-sage-green,Poise Set - Sage Green,"<div class=""product-description"">In sage green, this co-ord becomes something else entirely.<br>The Poise Set brings together a structured corset-style top and high-waisted shorts, built on clean lines and quiet strength.<br>The top is defined by its high-low hemline, structured through the body while still allowing movement. Along the neckline, hand-embroidered French knots, wooden beads, and shell elements catch light differently against the cloth. The hand-embroidered fabric buttons on each side remain deliberate, functional, beautiful.<br>The shorts brings balance to the look. High-waisted with front pleats and stitch line finishing, they hold structure while staying easy to wear.<br>A co-ord that earns its silhouette.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: 100% Hemp<br>Color: Yarn dyed Sage Green<br>Top Fit: Structured, Length: Front-20"" &amp; Back-23""<br>Short Fit: Comfort, Length: 14.25"" <br>Model Fit: Model is 5'6""/ wearing size S<br>
</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water (below 30°C) <br>● Use a mild, pH-neutral detergent <br>● Hand wash or gentle machine cycle <br>● Air dry in shade; avoid high heat      <br>● Iron on low to medium heat, preferably when slightly damp <br>● Avoid bleach and harsh chemicals <br>● Do not overwash: air between wears to keep it fresh <br>● Spot clean when possible instead of full washing <br><br>Note :<br>● Wash separately for the first few washes, as slight colour release may occur. <br>● Garments with hand embroidery are best cared for through dry cleaning. <br>● Subtle variations in colour and texture are natural. Each piece is unique. Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Co-ord Set,"Co-ord Set, Sage Green",true,Size,XS,,,,,,,,WT07- WSH02-SageGreen-XS,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03916.jpg?v=1775123037,1,,false,,,,kg,,,active
poise-set-sage-green,,,,,,,,,S,,,,,,,,WT07- WSH02-SageGreen-S,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03917.jpg?v=1775123042,2,,,,,,kg,,,
poise-set-sage-green,,,,,,,,,M,,,,,,,,WT07- WSH02-SageGreen-M,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03924.jpg?v=1775123049,3,,,,,,kg,,,
poise-set-sage-green,,,,,,,,,L,,,,,,,,WT07- WSH02-SageGreen-L,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03937.jpg?v=1775123054,4,,,,,,kg,,,
poise-set-sage-green,,,,,,,,,XL,,,,,,,,WT07- WSH02-SageGreen-XL,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03942.jpg?v=1775123060,5,,,,,,kg,,,
poise-set-sage-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03949.jpg?v=1775123065,6,,,,,,,,,
